AGUASCALIENTES ,BAJA CALIFORNIA,BAJA CALIFORNIA SUR,CAMPECHE,COAHUILA,COLIMA,CHIAPAS ,CHIHUAHUA,CIUDAD DE MEXICO,DURANGO ,GUANAJUATO,GUERRERO,HIDALGO,JALISCO,MÉXICO,MICHOACÁN,MORELOS,NAYARIT,NUEVO LEÓN,OAXACA ,PUEBLA ,QUERÉTARO,QUINTANA ROO,SAN LUIS POTOSÍ,SINALOA,SONORA,TABASCO,TAMAULIPAS ,TLAXCALA ,VERACRUZ,YUCATÁN,ZACATECAS ,NACIONAL,año,mes,dia,fecha
11,40,1,7,9,3,36,9,,9,23,10,11,5,47,5,29,1,5,13,7,1,5,19,14,7,5,27,15,175,1,4,554,1994,8,28,28/08/1994
25,127,7,12,23,19,36,19,2,20,47,8,48,26,83,20,48,11,10,24,23,8,4,22,16,18,49,60,93,715,4,9,1636,1994,9,4,04/09/1994
34,154,9,17,15,27,48,24,25,22,110,19,31,46,133,43,53,14,56,31,40,15,22,22,36,11,101,106,282,1295,7,23,2871,1994,9,11,11/09/1994
50,121,4,21,21,12,48,85,64,25,825,10,22,51,103,33,43,21,34,26,21,10,30,33,27,10,438,101,381,,1,25,2696,1994,9,18,18/09/1994
56,258,24,22,27,44,96,64,50,59,,32,60,130,328,46,78,42,56,44,72,16,52,70,45,24,,115,931,,13,28,2882,1994,9,25,25/09/1994
114,332,59,58,135,38,142,97,139,132,,54,72,253,770,61,141,72,121,88,170,40,69,135,113,44,,244,,,27,41,3761,1994,10,2,02/10/1994
41,230,17,33,38,42,51,82,124,57,,27,65,465,428,62,77,15,67,53,96,23,51,386,39,21,,158,,,16,18,2782,1994,10,9,09/10/1994
37,192,4,30,39,20,89,59,194,34,,24,47,389,293,43,60,15,50,45,69,12,26,883,29,28,,124,,,24,23,2882,1994,10,16,16/10/1994
40,226,10,30,41,28,81,64,90,37,,29,48,407,321,41,52,25,44,41,77,22,16,,33,25,,111,,,8,22,1969,1994,10,23,23/10/1994
34,212,8,23,49,23,82,55,45,30,,26,53,438,293,26,57,14,36,37,57,20,36,,28,24,,134,,,20,11,1871,1994,10,30,30/10/1994
33,133,8,22,28,18,48,50,69,22,,27,32,633,223,15,38,25,39,28,41,10,29,,21,9,,91,,,15,25,1732,1994,11,6,06/11/1994
48,186,12,25,49,41,76,66,32,35,,37,50,989,282,35,69,23,46,50,60,13,19,,41,16,,132,,,20,16,2468,1994,11,13,13/11/1994
52,168,21,35,44,26,52,71,138,17,,34,42,1166,262,29,73,23,41,48,50,19,14,,30,31,,143,,203,25,21,2878,1994,11,20,20/11/1994
43,183,11,18,52,28,57,76,336,28,,38,36,2262,289,26,77,18,42,52,59,14,17,,36,35,18,137,16,290,14,121,4429,1994,11,27,27/11/1994
38,183,10,26,52,17,55,64,265,28,,35,42,3577,242,45,69,16,39,37,41,10,14,,29,26,14,126,12,196,13,7,5328,1994,12,4,04/12/1994
39,161,5,22,48,35,46,89,227,22,104,36,40,,253,47,64,15,63,51,43,23,19,36,47,33,18,156,27,264,29,18,2080,1994,12,11,11/12/1994
24,142,8,29,42,28,45,68,157,20,76,34,38,,138,27,63,15,40,20,,9,14,8,36,28,16,101,12,174,11,13,1436,1994,12,18,18/12/1994
32,170,6,13,48,14,39,44,36,17,71,24,24,,126,17,40,10,26,45,,14,31,6,16,10,9,91,7,162,17,6,1171,1994,12,25,25/12/1994
34,194,5,13,19,12,26,60,251,13,63,22,29,,136,24,49,15,24,30,55,5,11,7,17,11,10,69,11,156,19,6,1396,1995,1,12,12/01/1995
34,197,10,29,43,23,60,83,227,37,73,40,40,,248,46,37,20,31,14,36,25,12,14,54,27,27,88,18,194,25,20,1832,1995,1,8,08/01/1995
67,231,13,16,67,29,81,107,132,57,130,59,58,,336,76,59,24,56,57,65,22,37,20,53,28,27,161,22,307,33,23,2453,1995,1,15,15/01/1995
67,240,15,41,38,23,70,88,178,73,110,47,78,,392,66,66,41,67,56,77,13,21,17,67,59,36,207,22,312,36,22,2645,1995,1,22,22/01/1995
57,354,8,35,52,32,68,132,143,110,139,55,53,,431,44,68,26,73,47,101,33,26,12,80,47,34,182,31,404,51,24,2952,1995,1,29,29/01/1995
64,385,12,26,54,28,74,246,136,93,490,44,73,,442,74,81,26,83,48,137,31,22,10,68,50,30,189,35,468,67,25,3611,1995,2,5,05/02/1995
52,418,11,23,146,25,96,578,152,54,3044,71,177,,736,70,92,26,71,64,74,35,32,22,134,47,20,228,36,422,360,24,7340,1995,2,12,12/02/1995
58,392,11,20,53,15,68,544,235,66,,97,124,36,753,92,129,19,86,49,73,32,34,14,110,43,29,221,36,375,603,25,4442,1995,2,19,19/02/1995
60,448,21,16,62,58,78,807,195,70,,76,82,89,557,126,140,32,90,73,86,39,39,16,102,57,40,256,23,403,892,36,5069,1995,2,26,26/02/1995
73,440,10,8,69,37,108,952,168,99,,77,73,91,558,141,151,38,94,70,93,32,40,16,94,83,30,266,29,379,876,39,5234,1995,3,5,05/03/1995
96,537,27,51,55,60,79,1571,240,363,,82,58,84,509,144,158,28,83,80,78,34,43,53,97,66,20,307,31,363,,34,5431,1995,3,12,12/03/1995
83,922,16,56,79,36,65,4178,150,335,,84,94,98,503,104,130,20,161,77,83,35,39,83,103,61,42,262,14,389,,29,8331,1995,3,19,19/03/1995
78,995,6,25,59,40,79,,157,,,77,65,99,397,103,112,17,63,67,90,37,31,43,70,51,31,258,17,320,,28,3415,1995,3,26,26/03/1995
67,2762,6,33,72,36,48,,190,,,68,63,94,465,73,146,16,77,61,80,42,30,43,79,78,42,266,35,368,,46,5386,1995,4,2,02/04/1995
278,1316,15,34,86,35,61,,140,,,94,76,103,521,110,113,34,88,80,78,38,41,43,76,57,38,252,29,378,,25,4239,1995,4,9,09/04/1995
284,3140,12,15,61,14,49,,155,,,49,44,44,236,67,68,13,40,61,45,18,40,30,38,36,71,148,25,224,,18,5045,1995,4,16,16/04/1995
399,,25,33,75,30,80,,173,,,89,58,104,429,84,125,24,79,68,77,43,47,50,90,63,36,304,24,517,,32,3158,1995,4,23,23/04/1995
840,,20,26,104,26,77,,172,,,100,67,96,462,87,134,27,96,,93,28,37,51,107,73,36,255,24,2269,,136,5443,1995,4,30,30/04/1995
,,16,48,60,25,56,,148,,,67,50,66,382,54,100,19,40,,88,11,34,41,69,47,29,187,28,,,213,1878,1995,5,7,07/05/1995
,,18,35,66,27,80,,197,,,89,55,87,440,78,115,25,61,,83,24,32,50,85,57,23,271,21,,,1325,3344,1995,5,14,14/05/1995
,,23,37,88,32,75,,199,,,92,75,108,538,100,129,23,73,,134,35,44,49,112,75,30,241,30,,,147,2489,1995,5,21,21/05/1995
,,24,54,78,40,108,,208,,,79,62,112,493,125,115,29,120,,124,40,55,50,96,87,28,267,22,,,,2416,1995,5,28,28/05/1995
,,16,57,83,33,85,,217,,154,220,62,98,614,175,142,30,91,,177,30,62,51,122,86,42,286,19,,12,,2964,1995,6,4,04/06/1995
,,22,56,100,31,261,,265,,128,129,70,149,595,847,133,37,89,,199,49,50,56,146,83,39,242,28,,16,,3820,1995,6,11,11/06/1995
,,16,50,136,50,342,,209,,133,105,71,108,606,3742,131,33,95,,101,25,51,53,293,79,42,318,32,,21,,6842,1995,6,18,18/06/1995
,,29,31,78,34,587,,436,,130,94,76,128,615,,128,26,78,,682,54,46,62,472,70,40,291,36,,22,,4245,1995,6,25,25/06/1995
,,20,32,105,40,569,,755,,118,108,80,166,627,,136,25,112,,897,41,50,59,1686,65,27,285,25,,19,,6047,1995,7,2,02/07/1995
,,30,37,125,48,758,,2669,91,153,156,115,163,1188,,164,42,124,,1013,51,47,63,,89,50,385,146,,28,,7735,1995,7,9,09/07/1995
,,26,33,107,54,,121,6793,74,171,161,118,231,2055,,187,42,156,,1398,55,58,81,,93,65,417,399,,30,,12925,1995,7,16,16/07/1995
,,34,37,171,80,,147,9994,108,157,170,163,246,1994,,243,44,146,,1945,84,62,72,,92,50,482,415,,27,,16963,1995,7,23,23/07/1995
,,24,40,132,51,,124,,77,204,184,111,217,1348,,175,41,129,,7308,80,58,91,,65,47,837,518,,35,,11896,1995,7,30,30/07/1995
,,50,57,111,95,,121,,86,149,126,114,208,1199,,176,53,144,,,71,76,90,,105,71,,751,,28,,3881,1995,8,6,06/08/1995
76,190,30,68,167,114,,174,,92,173,196,123,258,1308,,203,64,148,,,192,107,90,,96,62,,,823,42,62,4858,1995,8,13,13/08/1995
123,355,80,92,209,109,,269,,170,255,309,200,360,1815,,339,65,268,,,182,110,156,,153,98,,,1215,55,73,7060,1995,8,20,20/08/1995
160,347,61,84,180,76,,199,,106,232,208,174,303,1610,,238,55,198,,,73,109,90,,129,78,,,855,40,63,5668,1995,8,27,27/08/1995
106,343,42,54,146,102,,192,,81,187,226,159,260,1114,,150,60,126,,,115,132,82,,109,70,,,749,30,57,4692,1995,9,3,03/09/1995
151,437,32,82,153,108,,200,,123,263,309,122,330,1007,,169,65,218,,,91,109,111,,121,107,,,739,36,68,5151,1995,9,10,10/09/1995
196,434,43,96,193,137,,253,,100,252,204,125,430,826,,213,57,213,,,97,170,130,,177,194,,,896,49,98,5583,1995,9,17,17/09/1995
174,491,55,87,236,140,,385,,142,309,374,123,337,1277,,230,73,276,,,121,326,145,,205,200,,,919,89,115,6829,1995,9,24,24/09/1995
324,710,70,73,335,253,,464,,290,455,462,125,618,1899,,369,116,621,,,274,411,311,,302,302,,,1276,129,160,10349,1995,10,1,01/10/1995
170,365,69,10,336,80,,250,,95,244,243,103,213,925,,183,105,201,,,89,431,93,,139,159,,,910,46,89,5548,1995,10,8,08/10/1995
126,340,130,28,167,34,,232,,55,126,153,283,137,867,,146,52,146,,,65,337,80,,101,68,,,502,23,48,4246,1995,10,15,15/10/1995
108,316,209,38,144,54,,227,,73,139,155,990,182,795,,158,84,157,,,73,562,85,,129,50,,,458,46,39,5271,1995,10,22,22/10/1995
172,525,758,34,312,80,1504,322,,98,248,258,3620,242,1402,,207,86,231,,,88,2827,142,,117,137,,,651,66,65,14192,1995,10,29,29/10/1995
65,118,,18,123,39,308,129,78,56,183,64,5,361,930,6,104,77,146,25,14,120,5,116,11,86,146,67,4,569,141,43,4157,1995,11,10,10/11/1995
226,460,3,97,329,156,601,469,372,194,577,140,65,822,2290,12,362,168,496,162,59,235,4,275,42,279,327,203,23,1242,212,197,11099,1995,11,12,12/11/1995
250,437,2,109,355,172,588,406,393,194,592,212,40,912,2151,49,449,141,506,156,83,216,9,272,89,270,439,148,38,1359,283,166,11486,1995,11,19,19/11/1995
213,407,13,178,331,187,556,413,381,217,565,184,23,886,2457,105,486,134,454,124,104,226,1,251,97,249,358,198,32,1157,223,146,11356,1995,11,26,26/11/1995
210,560,12,147,414,230,891,587,913,253,714,236,24,1049,3138,312,617,147,648,207,164,304,12,332,209,330,450,424,73,1416,278,199,15500,1995,12,3,03/12/1995
273,559,3,204,402,252,802,577,1606,218,717,265,18,1085,2973,459,544,167,610,710,710,336,3,439,373,349,448,852,186,1581,231,210,18162,1995,12,10,10/12/1995
212,531,2,144,338,201,598,519,1580,172,587,253,15,938,2598,625,489,124,519,473,679,258,7,355,398,378,285,896,173,1324,207,193,16071,1995,12,17,17/12/1995
