AGUASCALIENTES ,BAJA CALIFORNIA,BAJA CALIFORNIA SUR,CAMPECHE,COAHUILA,COLIMA,CHIAPAS ,CHIHUAHUA,CIUDAD DE MEXICO,DURANGO ,GUANAJUATO,GUERRERO,HIDALGO,JALISCO,MÉXICO,MICHOACÁN,MORELOS,NAYARIT,NUEVO LEÓN,OAXACA ,PUEBLA ,QUERÉTARO,QUINTANA ROO,SAN LUIS POTOSÍ,SINALOA,SONORA,TABASCO,TAMAULIPAS ,TLAXCALA ,VERACRUZ,YUCATÁN,ZACATECAS ,NACIONAL,año,mes,dia,fecha
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1994,8,28,28/08/1994
,128,6,13,9,19,13,40,,17,191,12,28,15,28,34,22,13,9,8,23,10,12,17,47,30,217,5,212,440,7,8,1633,1994,9,4,04/09/1994
22,300,8,32,55,29,69,96,85,68,764,56,64,142,203,62,75,28,49,81,111,46,31,45,108,80,1140,151,978,855,15,24,5872,1994,9,11,11/09/1994
20,378,10,31,46,25,75,68,158,63,3470,30,34,140,170,71,87,27,63,63,103,38,21,43,105,89,1852,99,878,275,14,14,8560,1994,9,18,18/09/1994
42,704,42,40,59,33,161,86,281,145,3214,185,83,314,527,173,156,65,106,119,327,120,56,45,193,126,1421,151,1212,5216,25,18,15445,1994,9,25,25/09/1994
96,1643,137,223,527,79,425,493,1720,855,3731,675,288,806,2471,516,384,139,362,267,1488,481,306,103,772,466,1708,503,874,11391,91,79,34099,1994,10,2,02/10/1994
13,181,11,52,51,11,71,138,2321,73,5153,74,51,1133,287,93,35,24,35,43,172,57,34,450,55,38,1727,79,1346,,6,22,13836,1994,10,9,09/10/1994
19,252,19,34,56,21,116,70,760,73,17822,112,40,1060,391,57,96,10,74,85,76,47,23,1451,50,35,7886,120,2936,,6,24,33821,1994,10,16,16/10/1994
115,420,10,34,56,22,98,99,538,165,,139,92,1779,403,102,100,35,156,100,124,38,31,1004,114,56,,246,6170,,7,100,12353,1994,10,23,23/10/1994
156,420,31,44,88,36,136,178,487,148,,73,96,2714,467,129,327,51,225,128,139,31,29,1988,198,66,,334,,,13,99,8831,1994,10,30,30/10/1994
212,470,10,44,94,62,149,179,386,70,,117,111,3238,500,135,305,68,149,163,112,33,46,4867,117,63,,333,,,12,101,12146,1994,11,6,06/11/1994
337,527,15,112,155,119,262,318,310,88,,196,188,4654,978,213,820,122,307,271,365,64,60,6997,153,103,,738,,,20,155,18647,1994,11,13,13/11/1994
202,520,12,164,225,128,330,564,672,296,,218,192,6278,1306,285,831,128,535,367,494,71,84,,304,166,,727,,,20,112,15231,1994,11,20,20/11/1994
194,687,127,135,207,96,329,844,928,558,,249,224,7843,1580,393,642,178,472,344,509,89,154,,498,196,,608,,,43,430,18557,1994,11,27,27/11/1994
150,859,170,219,194,144,346,655,651,303,,298,308,8505,1485,349,476,206,355,462,623,85,154,,586,180,3,796,20,,49,136,18767,1994,12,4,04/12/1994
116,1048,128,232,247,169,433,687,826,335,,374,326,6216,1855,404,743,193,391,540,666,108,180,,660,186,32,924,87,402,55,116,18679,1994,12,11,11/12/1994
57,877,74,260,220,179,411,492,761,265,67,360,283,6533,1565,360,580,185,444,476,11,86,174,31,488,141,13,794,45,182,48,82,16544,1994,12,18,18/12/1994
70,794,40,194,178,112,347,419,462,156,465,331,221,7083,1380,304,311,129,349,379,6,26,162,20,306,100,8,579,32,151,55,45,15214,1994,12,25,25/12/1994
90,524,35,173,129,66,247,410,805,93,326,240,204,13443,1065,354,317,84,349,312,615,34,79,37,257,89,6,432,31,116,61,36,21059,1995,1,12,12/01/1995
269,723,66,186,190,181,368,303,545,172,275,350,217,39138,1938,393,376,159,363,260,428,69,120,31,355,184,31,520,32,120,91,212,48665,1995,1,8,08/01/1995
474,716,70,199,213,145,529,425,784,144,333,433,246,,2267,410,690,157,577,551,666,84,198,30,380,168,50,669,44,209,97,181,12139,1995,1,15,15/01/1995
243,850,56,219,227,139,516,605,968,241,281,653,289,,1955,415,704,202,535,438,595,84,144,24,361,213,59,692,97,980,106,201,13092,1995,1,22,22/01/1995
247,731,40,168,246,143,381,529,1405,220,290,674,267,,1713,491,480,231,462,387,718,129,112,39,381,234,75,651,72,1061,108,165,12850,1995,1,29,29/01/1995
111,915,90,199,191,156,276,695,763,230,877,627,221,,1541,390,503,183,502,428,939,215,114,83,392,207,75,526,82,1075,113,204,12923,1995,2,5,05/02/1995
123,1061,89,235,238,132,276,3059,1001,255,3003,741,221,,2093,413,501,133,495,413,634,342,208,174,404,160,58,611,106,977,582,270,19008,1995,2,12,12/02/1995
253,959,62,182,230,106,454,2237,1226,277,1897,679,237,299,2047,379,654,129,533,418,726,310,122,208,426,196,80,708,89,1156,1010,245,18534,1995,2,19,19/02/1995
