AGUASCALIENTES ,BAJA CALIFORNIA,BAJA CALIFORNIA SUR,CAMPECHE,COAHUILA,COLIMA,CHIAPAS ,CHIHUAHUA,CIUDAD DE MEXICO,DURANGO ,GUANAJUATO,GUERRERO,HIDALGO,JALISCO,MÉXICO,MICHOACÁN,MORELOS,NAYARIT,NUEVO LEÓN,OAXACA ,PUEBLA ,QUERÉTARO,QUINTANA ROO,SAN LUIS POTOSÍ,SINALOA,SONORA,TABASCO,TAMAULIPAS ,TLAXCALA ,VERACRUZ,YUCATÁN,ZACATECAS ,NACIONAL,año,mes,dia,fecha
,21,,3,1,19,17,4,,11,45,10,16,10,36,6,33,3,,6,11,2,5,18,2,,2,17,9,154,1,5,467,1994,8,28,28/08/1994
2,59,4,11,9,12,15,22,3,12,61,6,27,26,85,5,75,10,3,31,17,5,5,14,13,7,58,29,69,453,2,11,1161,1994,9,4,04/09/1994
5,87,2,19,7,22,68,31,23,12,126,11,38,20,119,30,101,12,27,42,43,13,8,19,22,92,182,39,285,724,7,15,2251,1994,9,11,11/09/1994
7,63,2,22,5,15,38,28,56,20,952,27,30,19,124,31,84,17,10,44,49,21,8,26,35,,630,35,378,,2,22,2800,1994,9,18,18/09/1994
7,146,9,42,7,28,115,34,40,23,,34,60,54,359,47,137,13,32,85,111,21,16,52,45,20,,52,941,,13,31,2574,1994,9,25,25/09/1994
9,211,23,125,21,38,156,55,123,79,,52,124,108,880,68,226,59,71,117,241,54,32,77,78,39,,72,,,36,74,3248,1994,10,2,02/10/1994
5,147,8,42,12,19,75,82,184,26,,33,81,206,529,60,113,17,39,57,113,20,15,157,36,24,,55,,,7,22,2184,1994,10,9,09/10/1994
6,112,6,61,9,18,90,50,265,29,,29,58,207,289,32,118,20,18,56,101,16,21,433,32,13,,60,,,7,19,2175,1994,10,16,16/10/1994
7,134,1,40,12,15,77,48,143,15,,26,47,234,302,50,99,25,34,54,81,21,10,,30,22,,61,,,7,24,1619,1994,10,23,23/10/1994
35,110,3,50,17,24,99,33,111,19,,31,29,256,268,41,86,16,26,63,82,14,14,,32,23,,65,,,14,31,1592,1994,10,30,30/10/1994
19,93,6,36,5,8,52,49,109,24,,20,26,273,207,19,54,12,13,42,46,12,3,,16,22,,47,,,12,21,1246,1994,11,6,06/11/1994
9,117,4,79,14,26,84,39,54,18,,31,37,398,259,48,109,28,26,74,111,9,15,,27,30,,74,,,5,17,1742,1994,11,13,13/11/1994
7,122,10,57,12,24,83,51,145,21,,25,86,565,255,34,128,27,31,66,87,19,16,,26,32,,52,,170,19,25,2195,1994,11,20,20/11/1994
4,185,3,67,12,20,98,42,265,22,,42,36,975,323,41,134,19,30,50,85,8,17,,32,27,30,63,8,193,24,46,2901,1994,11,27,27/11/1994
7,248,4,31,11,14,75,26,316,25,,29,45,1153,256,41,112,17,21,48,59,5,14,,31,25,42,39,10,200,16,18,2938,1994,12,4,04/12/1994
5,280,7,64,10,24,69,52,229,18,165,49,49,,277,35,141,28,34,55,61,11,6,25,33,22,39,71,21,194,21,30,2125,1994,12,11,11/12/1994
13,290,6,55,12,13,53,55,205,24,80,37,24,,204,37,112,15,20,45,,19,14,13,31,25,38,49,18,132,18,23,1680,1994,12,18,18/12/1994
7,142,2,36,5,13,46,39,71,18,79,32,22,,141,33,62,10,20,46,,2,5,5,19,9,14,26,14,117,12,14,1061,1994,12,25,25/12/1994
1,268,1,24,8,12,33,58,243,7,52,22,35,,141,22,67,10,8,43,87,6,4,7,16,12,10,27,8,105,17,11,1365,1995,1,12,12/01/1995
12,146,7,38,6,26,70,48,221,23,93,46,26,,259,42,78,22,24,30,64,8,7,13,30,37,36,53,16,141,38,34,1694,1995,1,8,08/01/1995
4,138,10,69,20,21,89,59,138,41,124,47,42,,419,71,94,31,40,66,104,12,17,15,49,23,51,66,24,179,29,33,2125,1995,1,15,15/01/1995
6,125,8,64,16,31,94,64,245,41,133,78,55,,388,59,116,30,58,86,115,14,7,13,34,32,74,58,19,206,48,30,2347,1995,1,22,22/01/1995
18,150,12,68,16,24,112,37,142,52,139,53,54,,393,76,118,21,38,48,131,20,4,9,48,48,51,75,27,265,37,29,2315,1995,1,29,29/01/1995
7,184,3,39,17,17,107,131,139,41,399,61,54,,423,60,107,23,39,57,295,26,18,21,61,46,50,97,24,341,32,34,2953,1995,2,5,05/02/1995
262,240,8,38,10,18,117,352,168,34,2156,82,62,,529,90,103,33,45,60,73,29,24,19,76,48,67,101,36,301,294,42,5517,1995,2,12,12/02/1995
65,139,7,32,19,24,116,317,318,35,,103,76,17,490,83,161,21,49,56,97,41,12,21,65,33,52,110,22,331,482,38,3432,1995,2,19,19/02/1995
