AGUASCALIENTES ,BAJA CALIFORNIA,BAJA CALIFORNIA SUR,CAMPECHE,COAHUILA,COLIMA,CHIAPAS ,CHIHUAHUA,CIUDAD DE MEXICO,DURANGO ,GUANAJUATO,GUERRERO,HIDALGO,JALISCO,MÉXICO,MICHOACÁN,MORELOS,NAYARIT,NUEVO LEÓN,OAXACA ,PUEBLA ,QUERÉTARO,QUINTANA ROO,SAN LUIS POTOSÍ,SINALOA,SONORA,TABASCO,TAMAULIPAS ,TLAXCALA ,VERACRUZ,YUCATÁN,ZACATECAS ,NACIONAL,año,mes,dia,fecha
17,107,4,20,32,62,47,44,,39,153,146,99,75,160,19,96,13,14,82,59,14,5,55,53,16,9,102,43,440,4,38,2067,1994,8,28,28/08/1994
47,252,18,41,52,50,43,72,5,82,321,178,90,166,234,123,145,38,51,144,58,20,15,83,110,40,38,167,367,1982,26,34,5092,1994,9,4,04/09/1994
103,404,9,51,88,68,141,160,54,106,1599,213,154,314,353,232,256,73,137,172,179,97,58,121,221,47,1,309,1428,3357,39,69,10613,1994,9,11,11/09/1994
68,312,28,44,78,67,112,109,249,102,8857,169,105,259,385,198,189,58,78,175,156,86,59,100,166,49,3078,292,1640,,23,70,17361,1994,9,18,18/09/1994
120,774,72,83,122,57,290,188,236,153,,372,249,632,1032,316,355,181,181,399,501,221,155,229,242,108,,380,3393,,72,95,11208,1994,9,25,25/09/1994
253,1216,262,308,593,150,464,350,381,677,,719,566,1212,2540,642,636,320,577,708,1159,375,313,422,1005,239,,745,,,190,186,17208,1994,10,2,02/10/1994
88,604,38,149,136,81,262,281,430,217,,317,278,3299,1544,484,334,111,178,365,684,316,108,1183,205,115,,477,,,61,47,12392,1994,10,9,09/10/1994
83,501,45,155,142,68,305,222,984,144,,316,181,2580,827,334,268,82,103,241,476,197,108,4253,199,134,,360,,,71,92,13471,1994,10,16,16/10/1994
77,507,35,98,132,71,255,222,551,148,,336,182,3005,828,295,229,81,124,232,314,184,49,,181,105,,350,,,61,64,8716,1994,10,23,23/10/1994
70,476,37,74,151,71,208,184,311,125,,260,159,3185,699,248,208,87,109,228,261,153,95,,189,93,,335,,,78,90,8184,1994,10,30,30/10/1994
62,358,16,62,109,61,144,161,358,105,,186,122,3300,504,198,175,94,117,179,241,92,55,,163,90,,222,,,68,70,7312,1994,11,6,06/11/1994
94,508,65,151,118,92,240,247,143,99,,268,182,5268,741,255,341,107,147,286,324,98,96,,197,132,,369,,,49,113,10730,1994,11,13,13/11/1994
140,475,55,85,125,67,218,228,368,108,,360,183,6138,676,245,312,104,123,254,361,83,51,,206,135,,436,,543,79,80,12238,1994,11,20,20/11/1994
103,444,67,95,141,82,175,266,846,132,,640,149,10245,701,242,362,96,125,257,303,64,74,,197,140,39,404,39,612,76,405,17521,1994,11,27,27/11/1994
68,429,37,78,134,57,175,225,1309,134,,702,156,16626,554,263,388,87,116,255,264,60,81,,179,149,41,320,47,532,86,69,23621,1994,12,4,04/12/1994
93,531,42,95,156,94,152,278,685,131,1365,598,128,,625,294,412,117,173,256,210,68,66,145,214,115,75,400,74,668,75,87,8422,1994,12,11,11/12/1994
59,440,34,95,102,61,139,228,581,93,551,505,115,,487,192,315,74,157,261,14,51,73,73,154,95,47,348,45,379,47,60,5875,1994,12,18,18/12/1994
68,450,22,41,89,52,94,142,252,73,631,453,136,,393,215,226,68,104,183,14,44,50,63,107,65,31,295,37,394,40,60,4892,1994,12,25,25/12/1994
109,491,29,67,62,54,106,199,1066,65,414,261,106,,341,213,273,69,77,151,333,32,22,73,102,71,29,220,31,354,83,33,5536,1995,1,12,12/01/1995
128,602,66,121,155,71,129,295,737,162,695,588,167,,772,395,300,93,147,164,283,91,89,111,234,164,95,320,44,528,118,109,7973,1995,1,8,08/01/1995
163,656,77,137,209,87,198,373,532,196,840,889,215,,1072,522,384,167,267,330,456,109,122,124,316,193,132,562,83,641,181,122,10355,1995,1,15,15/01/1995
174,829,81,150,183,100,245,407,639,261,817,811,248,,1229,465,372,137,272,293,449,95,65,126,280,204,139,551,71,695,213,102,10703,1995,1,22,22/01/1995
165,1092,74,135,208,101,227,428,579,339,775,858,239,,1107,422,412,148,280,313,697,103,80,129,279,199,116,478,64,1104,313,107,11571,1995,1,29,29/01/1995
127,1405,67,124,216,93,241,1635,413,314,3081,894,171,,1108,439,399,111,305,350,1384,107,82,95,312,221,114,533,67,1526,231,113,16278,1995,2,5,05/02/1995
190,1480,95,155,237,99,291,4071,567,233,23808,1214,219,,1364,509,361,117,295,356,272,121,110,141,346,204,129,603,84,1057,3539,132,42399,1995,2,12,12/02/1995
202,1175,94,73,222,106,330,3638,833,227,,979,238,164,1287,596,622,127,335,373,295,131,101,108,333,170,123,549,88,1047,5509,125,20200,1995,2,19,19/02/1995
195,1374,70,90,247,117,267,4733,723,231,,855,220,374,1440,688,701,132,441,359,302,152,71,124,386,217,118,660,83,1057,6818,147,23392,1995,2,26,26/02/1995
189,1407,89,55,230,122,306,5119,705,280,,1107,277,397,1439,716,727,143,324,397,385,188,147,118,379,197,117,682,75,976,5384,144,22821,1995,3,5,05/03/1995
191,1804,69,196,250,183,248,7587,901,1255,,1109,266,408,1483,855,757,163,355,393,317,138,106,396,448,227,108,651,66,920,,148,21998,1995,3,12,12/03/1995
205,2722,72,136,274,131,291,16283,586,1368,,925,246,412,1314,665,738,135,613,365,364,151,104,307,403,232,135,713,58,1010,,151,31109,1995,3,19,19/03/1995
184,2800,66,135,286,118,292,,568,,,1030,207,303,1140,598,577,154,316,267,472,138,105,190,370,207,100,681,69,839,,98,12310,1995,3,26,26/03/1995
167,9507,87,149,255,129,236,,759,,,926,180,345,1333,519,718,150,287,342,411,174,95,220,418,266,108,764,67,987,,126,19725,1995,4,2,02/04/1995
860,3706,76,136,323,107,292,,442,,,925,209,345,1182,653,604,176,317,371,350,125,144,206,446,191,95,668,73,985,,134,14141,1995,4,9,09/04/1995
1074,7223,36,63,191,53,145,,562,,,438,134,214,633,307,350,62,177,257,162,84,121,118,185,108,113,355,41,598,,77,13881,1995,4,16,16/04/1995
1450,,113,129,289,119,239,,653,,,893,208,330,1213,563,580,132,344,408,442,139,108,231,449,235,111,723,71,1575,,119,11866,1995,4,23,23/04/1995
2161,218,123,106,333,119,252,,628,,,936,228,350,1331,697,648,162,363,,440,109,104,186,508,224,110,711,80,6522,,855,18504,1995,4,30,30/04/1995
,687,48,141,281,120,170,,508,,,1058,169,225,928,393,496,110,219,,273,92,89,142,319,161,63,667,59,,,1348,8766,1995,5,7,07/05/1995
,1031,62,120,249,121,208,,633,,,941,190,382,1109,511,573,135,354,,430,121,113,181,367,239,88,827,76,,,6461,15522,1995,5,14,14/05/1995
,718,95,200,290,105,395,,756,,,1146,222,413,1441,641,605,161,356,,578,135,104,218,498,262,102,746,81,,,719,10987,1995,5,21,21/05/1995
,633,82,181,313,100,319,,734,,,876,225,391,1389,648,623,152,507,,506,119,98,203,471,264,136,816,93,,,,9879,1995,5,28,28/05/1995
,829,113,252,344,151,336,,797,,971,1462,248,424,1530,848,632,208,409,,538,150,125,232,445,252,121,892,110,,39,,12458,1995,6,4,04/06/1995
,449,102,255,375,159,1624,,874,,841,1138,251,457,1530,6349,717,196,484,,641,160,127,226,963,300,127,754,117,,69,,19285,1995,6,11,11/06/1995
,682,92,209,412,163,2994,,786,,744,1364,240,475,1543,25311,678,165,441,,389,149,127,246,2935,267,112,889,96,,77,,41586,1995,6,18,18/06/1995
,108,86,136,341,162,4022,,1220,,693,1497,253,476,1648,,712,187,502,,5164,272,113,269,3745,294,131,818,101,,62,,23012,1995,6,25,25/06/1995
,,88,210,409,136,3045,,3946,,691,1319,253,484,1704,,713,222,552,,5898,223,115,281,8553,270,134,865,107,,63,,30281,1995,7,2,02/07/1995
,,124,274,491,203,3867,,17609,666,895,1896,474,628,4692,,952,245,669,,7439,376,121,293,,345,207,1074,616,,124,,44280,1995,7,9,09/07/1995
,,149,289,694,267,,422,42650,558,1178,2184,649,1012,10083,,1331,375,924,,8927,435,189,365,,419,236,1521,2241,,196,,77294,1995,7,16,16/07/1995
,,104,248,718,289,,405,52495,451,1068,1955,699,918,8800,,1256,296,934,,9778,498,173,406,,365,234,1354,2035,,181,,85660,1995,7,23,23/07/1995
,,146,299,697,189,,327,,445,940,1969,459,801,4729,,835,260,755,,29952,369,178,378,,307,198,2291,2256,,215,,48995,1995,7,30,30/07/1995
,,158,193,579,254,,394,,400,930,1834,466,793,3943,,824,266,753,,,328,202,421,,426,228,,2801,,136,,16329,1995,8,6,06/08/1995
239,442,124,311,750,354,,460,,476,1035,2952,518,1059,4235,,933,327,818,,,520,325,497,,457,309,,,3542,174,302,21159,1995,8,13,13/08/1995
385,752,265,453,1124,474,,737,,658,1692,3632,807,1754,5924,,1419,421,1422,,,620,341,639,,648,467,,,4638,316,325,29913,1995,8,20,20/08/1995
325,763,164,507,888,407,,537,,513,1331,2580,701,1133,4558,,1031,326,997,,,564,435,442,,553,445,,,2848,218,255,22521,1995,8,27,27/08/1995
269,729,154,249,688,320,,506,,373,1067,2989,510,992,3381,,948,277,789,,,458,269,414,,410,304,,,2131,206,190,18623,1995,9,3,03/09/1995
395,939,91,371,696,281,,605,,441,1188,3656,427,1325,3220,,879,381,1158,,,355,301,487,,549,451,,,2092,237,282,20807,1995,9,10,10/09/1995
411,999,111,401,966,382,,722,,501,1679,1842,404,1891,2713,,903,398,1325,,,363,345,645,,629,997,,,2711,351,458,22147,1995,9,17,17/09/1995
467,1160,145,419,1175,384,,1102,,652,1963,3471,449,2431,3847,,1003,557,1745,,,631,965,652,,832,1177,,,3035,489,529,29280,1995,9,24,24/09/1995
753,1723,175,363,1825,727,,1447,,1301,3104,4982,490,4986,5548,,1786,733,3607,,,1227,1259,1393,,1521,2069,,,4083,862,773,46737,1995,10,1,01/10/1995
334,779,235,146,1675,245,,626,,495,1576,2421,423,2671,2989,,799,449,1145,,,509,1347,566,,665,765,,,3169,274,386,24689,1995,10,8,08/10/1995
238,738,429,110,644,129,,633,,326,947,1814,1999,900,2852,,663,272,870,,,343,1268,430,,475,320,,,1307,164,179,18050,1995,10,15,15/10/1995
219,597,813,273,673,134,,582,,345,843,1954,6316,1214,2747,,604,298,731,,,383,1673,353,,546,261,,,1338,235,223,23355,1995,10,22,22/10/1995
377,1073,2275,211,1060,240,7472,886,,603,1256,1133,20085,1782,4702,,900,481,1163,,,559,5129,667,,633,516,,,1963,221,260,55647,1995,10,29,29/10/1995
176,244,,228,681,119,1596,460,131,365,1176,891,23,1800,3202,30,398,317,852,192,76,423,31,659,85,409,674,175,16,2217,924,253,18823,1995,11,10,10/11/1995
777,1084,7,701,1934,415,3502,1518,704,1349,3659,1718,428,4702,7634,103,1449,733,2837,897,218,1027,33,1505,308,1233,1915,645,83,5541,1208,922,50789,1995,11,12,12/11/1995
799,1095,1,537,1932,542,3468,1528,771,1389,4064,1954,153,4630,7217,493,1630,731,2735,674,258,957,23,1543,457,1374,2253,354,84,5596,1545,931,51718,1995,11,19,19/11/1995
528,1016,2,691,1639,564,3505,1307,662,1371,3876,1982,134,4415,6535,751,1428,481,2130,554,416,1030,15,1562,439,1096,1695,432,79,4546,1265,715,46861,1995,11,26,26/11/1995
563,1300,5,619,1884,587,5639,1765,2010,1484,4515,2711,197,5084,8793,1884,1740,760,3106,789,644,1203,79,1862,1093,1351,2046,1170,229,5422,1424,1210,63168,1995,12,3,03/12/1995
743,1420,5,934,1615,673,5942,1973,3446,1316,4370,2956,137,5648,9684,3279,1911,701,3158,6113,3306,1327,17,2095,2168,1470,1868,2414,498,5989,1257,1277,79710,1995,12,10,10/12/1995
439,1251,2,917,1532,484,3546,1547,3464,1148,3725,2491,143,4537,8334,4154,1640,762,2588,4602,2965,1106,24,1594,2617,1447,1425,2723,560,4997,771,939,68474,1995,12,17,17/12/1995
556,1102,,505,1347,468,3067,1406,3878,764,3985,2535,112,4162,8551,4244,1622,836,2359,4198,3215,825,22,1379,2227,1181,1374,2523,693,4470,1004,796,65406,1995,12,24,24/12/1995
441,1204,5,329,1565,509,2626,1609,4054,1122,3132,1829,53,4451,8428,3431,1198,597,1956,4487,2809,1203,41,1595,2796,894,1096,1686,679,4624,1092,577,62118,1995,12,31,31/12/1995
968,1907,79,622,2228,596,3907,1915,7998,1631,5408,2777,295,7211,17322,5133,1909,795,4180,6225,4352,1577,95,2501,2693,1587,2058,3355,1096,6264,1418,1159,101261,1996,1,7,07/01/1996
1777,3203,378,1176,4545,1058,3146,4581,16156,3271,11758,4352,591,12628,32524,10136,3912,1663,10545,7642,5636,4525,405,4640,5677,4052,4855,8543,1462,15085,1789,2543,194254,1996,1,14,14/01/1996
1901,3597,259,893,3156,1016,9828,4366,13672,4392,8920,7333,497,11098,30027,12512,3860,1368,6161,8657,13217,2408,182,4370,5540,3394,2942,5796,1566,11458,2369,2479,189234,1996,1,21,21/01/1996
465,1195,103,445,2138,445,2395,1480,6264,1105,2688,2823,391,5004,11560,2394,898,664,4076,3073,4165,882,157,1133,2674,1517,1207,2842,667,3506,1296,489,70141,1996,1,28,28/01/1996
326,1244,104,347,2310,374,3210,1491,5365,899,2691,2619,363,5379,12463,3987,826,751,2743,2955,3084,919,140,958,2290,1043,998,2331,908,4014,1285,636,69053,1996,2,4,04/02/1996
367,757,148,608,2452,374,3350,1216,3844,1109,2708,3152,343,3908,13463,3669,1044,1031,2707,3433,2800,678,131,886,1939,946,962,1821,642,2815,1022,806,65131,1996,2,11,11/02/1996
399,923,106,554,2562,339,3366,1895,4170,1281,3184,4240,325,4213,14687,5287,961,711,2931,4343,3943,1313,54,1052,2627,1103,1279,3383,1565,3220,940,665,77621,1996,2,18,18/02/1996
242,986,154,245,1056,187,863,902,3829,565,1362,981,899,2012,5628,1294,921,655,1453,901,713,643,171,505,1018,798,557,1262,159,2079,275,173,33488,1996,2,25,25/02/1996
224,893,130,320,856,209,564,702,3209,424,1254,871,740,1604,3878,1132,670,805,935,739,910,415,207,503,866,639,491,1013,172,1907,311,200,27793,1996,3,3,03/03/1996
299,1008,142,322,897,270,703,750,3020,407,1297,753,726,1394,3814,1317,898,740,953,825,949,388,221,465,936,669,410,889,186,1667,268,243,27826,1996,3,10,10/03/1996
264,919,145,290,859,164,674,669,2606,548,1151,729,603,1477,3648,1075,821,1485,900,603,916,322,319,394,853,601,408,820,176,1530,203,193,26365,1996,3,17,17/03/1996
214,793,94,235,599,136,610,620,2143,586,900,728,503,1121,2653,873,717,1894,734,473,846,264,139,376,744,511,308,763,111,1506,191,166,22551,1996,3,24,24/03/1996
271,920,129,216,723,150,638,793,2270,808,1098,862,506,1319,2700,878,762,,783,586,1287,365,259,332,768,582,343,793,146,1329,250,190,23056,1996,3,31,31/03/1996
170,520,34,194,442,84,380,484,1446,452,598,495,287,732,1670,471,423,,607,376,495,195,181,226,411,289,199,559,65,1110,150,110,13855,1996,4,7,07/04/1996
235,904,158,216,758,185,593,717,2575,793,1145,861,546,1358,2863,849,660,,1468,495,868,226,209,416,842,546,365,892,141,2407,298,181,24770,1996,4,14,14/04/1996
265,956,156,242,919,191,606,753,2588,829,1199,837,541,1523,3292,917,905,,1326,777,791,433,270,399,995,626,401,900,140,3445,242,213,27677,1996,4,21,21/04/1996
198,846,148,337,825,171,790,846,2880,705,1343,5265,452,1566,3705,1077,920,,1420,637,819,430,328,461,978,649,457,882,153,3322,235,180,33025,1996,4,28,28/04/1996
216,628,143,283,636,179,1112,802,2091,703,1034,5012,881,1243,3062,905,635,,1224,580,660,307,318,350,795,513,363,733,139,2739,366,172,28824,1996,5,5,05/05/1996
246,802,143,357,737,169,1167,875,2577,583,1269,5866,924,1745,3598,967,824,,1278,484,766,309,252,381,868,577,391,859,144,3342,610,330,33440,1996,5,12,12/05/1996
