AGUASCALIENTES ,BAJA CALIFORNIA,BAJA CALIFORNIA SUR,CAMPECHE,COAHUILA,COLIMA,CHIAPAS ,CHIHUAHUA,CIUDAD DE MEXICO,DURANGO ,GUANAJUATO,GUERRERO,HIDALGO,JALISCO,MÉXICO,MICHOACÁN,MORELOS,NAYARIT,NUEVO LEÓN,OAXACA ,PUEBLA ,QUERÉTARO,QUINTANA ROO,SAN LUIS POTOSÍ,SINALOA,SONORA,TABASCO,TAMAULIPAS ,TLAXCALA ,VERACRUZ,YUCATÁN,ZACATECAS ,NACIONAL,año,mes,dia,fecha
16,59,1,6,14,22,63,38,,40,97,38,55,39,178,23,63,10,14,49,56,24,1,37,54,26,35,63,33,421,2,15,1592,1994,8,28,28/08/1994
30,158,7,27,75,28,40,68,20,62,238,50,53,110,261,55,98,20,47,85,38,25,17,55,93,57,151,138,214,1520,28,25,3893,1994,9,4,04/09/1994
59,149,15,31,86,34,132,84,112,77,827,79,66,153,385,88,123,39,131,113,128,56,38,77,164,57,429,157,647,1968,20,49,6573,1994,9,11,11/09/1994
53,115,11,21,70,16,97,56,223,67,3402,61,48,131,350,86,88,38,81,75,108,23,47,64,122,57,1247,110,694,,19,51,7631,1994,9,18,18/09/1994
99,200,34,54,95,38,195,130,220,94,264,128,127,325,860,152,184,107,169,174,220,28,82,122,185,100,,159,1128,,48,56,5777,1994,9,25,25/09/1994
152,738,60,152,341,83,280,226,542,295,2302,184,225,621,2164,241,328,153,329,311,529,94,159,204,419,146,,249,,,111,65,11703,1994,10,2,02/10/1994
89,203,22,60,102,39,135,123,634,122,,76,105,897,1039,188,168,55,164,134,287,28,81,505,176,55,,196,,,36,34,5753,1994,10,9,09/10/1994
63,168,13,70,74,24,169,95,1411,77,,100,115,793,675,98,119,49,115,144,227,25,54,1295,118,96,,145,,,31,40,6403,1994,10,16,16/10/1994
68,171,16,47,75,28,140,117,578,70,,97,113,743,672,115,132,36,112,123,178,30,37,,106,78,,153,,,24,34,4093,1994,10,23,23/10/1994
39,156,7,41,84,33,147,94,473,63,,73,107,722,568,96,98,41,102,99,128,21,41,,121,71,,151,,,34,34,3644,1994,10,30,30/10/1994
30,105,15,16,74,30,83,76,445,46,,53,41,851,418,88,82,48,92,87,97,21,19,,80,39,,131,,,24,34,3125,1994,11,6,06/11/1994
71,134,35,45,91,31,120,98,148,67,,93,86,1293,684,108,122,49,125,121,161,52,42,,135,75,,170,,,30,54,4240,1994,11,13,13/11/1994
71,164,27,27,106,40,105,92,516,61,,126,59,1618,600,106,167,53,119,111,139,52,24,,117,103,,160,,521,25,41,5350,1994,11,20,20/11/1994
61,122,16,37,89,47,112,148,988,68,,159,80,2635,584,97,136,50,95,90,143,62,42,,128,68,25,150,36,574,31,176,7049,1994,11,27,27/11/1994
59,81,18,35,81,27,83,100,894,70,,165,67,4410,432,78,147,37,92,97,112,47,34,,102,93,48,137,52,458,20,29,8105,1994,12,4,04/12/1994
38,131,23,29,92,44,78,118,762,72,376,162,89,,547,85,134,45,126,112,118,53,28,51,137,65,43,158,20,440,25,31,4232,1994,12,11,11/12/1994
37,103,13,28,77,35,73,70,619,59,197,180,51,,419,76,111,40,127,86,4,29,36,43,121,54,53,130,71,380,21,26,3369,1994,12,18,18/12/1994
38,153,11,22,75,27,91,63,339,44,211,124,46,,304,79,105,27,74,90,6,16,23,20,85,38,20,121,48,271,16,13,2600,1994,12,25,25/12/1994
56,81,9,36,44,18,45,90,571,31,161,77,37,,313,73,107,34,55,84,125,25,10,26,81,36,18,106,15,283,32,11,2690,1995,1,12,12/01/1995
59,109,19,46,82,39,124,126,634,79,196,176,67,,637,112,113,57,117,62,125,69,49,35,,88,67,156,42,434,32,37,3988,1995,1,8,08/01/1995
78,121,40,48,103,41,113,146,483,90,314,230,83,,791,153,148,64,177,155,189,88,44,30,344,87,85,210,43,485,55,37,5075,1995,1,15,15/01/1995
91,146,28,36,89,34,100,168,723,101,275,199,105,,758,127,159,49,192,150,155,78,35,37,162,104,59,217,63,504,42,36,5022,1995,1,22,22/01/1995
59,155,16,28,107,36,113,171,489,125,227,249,96,,753,147,162,52,166,106,233,63,53,49,204,96,87,164,54,691,108,34,5093,1995,1,29,29/01/1995
84,158,22,28,99,26,139,414,485,117,869,241,85,,769,161,161,59,155,159,307,61,57,32,195,93,61,195,51,758,67,44,6152,1995,2,5,05/02/1995
81,187,30,32,116,37,133,886,684,83,4619,302,79,,874,157,146,66,162,157,134,71,49,40,164,79,55,224,62,664,683,55,11111,1995,2,12,12/02/1995
74,162,35,27,119,32,120,721,1004,91,,257,90,65,888,159,242,54,174,134,142,72,43,50,187,96,67,196,77,622,948,51,6999,1995,2,19,19/02/1995
71,155,23,38,111,29,124,905,865,96,,277,119,162,924,224,233,62,225,148,167,77,47,29,215,114,49,214,55,609,1138,47,7552,1995,2,26,26/02/1995
72,184,30,21,99,24,142,943,708,115,,271,106,167,984,236,265,73,170,156,178,77,53,45,198,121,53,249,66,563,815,61,7245,1995,3,5,05/03/1995
89,213,19,64,132,24,111,1491,942,347,,309,126,177,984,244,300,56,195,165,177,70,76,133,214,100,70,218,62,535,,36,7679,1995,3,12,12/03/1995
99,283,26,45,128,23,120,3074,657,328,,246,112,158,876,195,197,56,220,150,165,89,52,121,204,94,67,212,52,535,,42,8626,1995,3,19,19/03/1995
64,265,28,42,115,21,119,,652,,,232,89,127,752,180,217,53,137,134,164,69,60,93,183,83,66,197,61,475,,44,4722,1995,3,26,26/03/1995
93,773,27,46,148,44,117,,806,,,233,69,171,859,135,231,52,163,148,152,88,45,92,216,120,52,212,67,517,,44,5720,1995,4,2,02/04/1995
265,381,17,48,134,38,129,,544,,,276,101,149,816,190,187,73,179,149,146,82,44,80,200,101,55,195,64,546,,38,5227,1995,4,9,09/04/1995
270,813,12,31,74,18,70,,708,,,125,61,86,442,108,125,19,84,119,102,42,30,42,87,50,45,121,36,310,,30,4060,1995,4,16,16/04/1995
382,,34,42,137,43,112,,838,,,254,111,162,902,172,230,63,148,141,218,85,41,81,218,114,59,225,88,724,,50,5674,1995,4,23,23/04/1995
681,,29,41,140,34,112,,824,,,228,100,154,857,211,207,60,147,,159,67,43,94,236,103,58,213,62,2655,,249,7764,1995,4,30,30/04/1995
,,25,30,97,22,83,,506,,,254,85,114,655,112,159,49,109,,111,45,46,55,177,66,38,157,26,,,355,3376,1995,5,7,07/05/1995
,,22,24,105,34,96,,686,,,259,73,162,784,174,233,72,151,,162,71,41,78,184,93,59,243,65,,,1338,5209,1995,5,14,14/05/1995
,,24,42,115,43,132,,903,,,300,91,194,937,182,239,58,162,,220,58,45,95,240,100,53,211,85,,,149,4678,1995,5,21,21/05/1995
,,25,49,106,31,172,,875,,,248,109,173,915,247,201,65,244,,208,66,37,82,233,97,63,216,73,,,,4535,1995,5,28,28/05/1995
,,25,71,126,40,162,,990,,341,401,77,176,996,282,197,71,206,,223,72,70,88,285,102,59,205,89,,1,,5355,1995,6,4,04/06/1995
,,19,47,120,33,526,,1019,,344,263,45,256,995,1778,232,75,184,,284,75,63,97,413,120,51,229,75,,17,,7360,1995,6,11,11/06/1995
,,36,47,122,36,866,,911,,310,316,54,259,982,5713,230,56,182,,154,84,53,101,916,128,50,229,72,,30,,11937,1995,6,18,18/06/1995
,,30,34,112,48,1046,,1156,,283,337,67,200,941,,201,64,186,,988,99,46,84,1064,94,64,222,64,,28,,7458,1995,6,25,25/06/1995
,,30,29,113,34,894,,3379,,303,307,60,206,984,,219,54,160,,1220,79,61,100,2310,102,83,236,84,,18,,11065,1995,7,2,02/07/1995
,,34,47,158,55,1071,,10755,197,321,388,101,246,2043,,271,89,224,,1466,99,52,99,,138,85,277,325,,36,,18577,1995,7,9,09/07/1995
,,42,56,217,76,,162,21437,188,357,417,97,392,3278,,346,102,297,,1630,134,56,121,,140,76,335,777,,38,,30771,1995,7,16,16/07/1995
,,46,50,198,66,,145,24404,172,356,398,110,364,2736,,364,70,276,,2031,123,67,114,,123,121,298,732,,38,,33402,1995,7,23,23/07/1995
,,28,77,182,68,,128,,139,345,415,104,317,1970,,278,80,239,,6656,103,67,128,,112,79,522,763,,40,,12840,1995,7,30,30/07/1995
,,41,64,164,70,,148,,144,308,392,75,326,1731,,282,67,237,,,104,78,143,,151,113,,927,,33,,5598,1995,8,6,06/08/1995
101,87,55,91,205,80,,154,,133,360,575,99,382,1933,,333,93,261,,,122,91,134,,160,107,,,1345,40,79,7020,1995,8,13,13/08/1995
155,134,69,86,281,87,,303,,222,526,689,157,634,2509,,433,138,395,,,172,122,175,,224,172,,,1693,82,123,9581,1995,8,20,20/08/1995
150,110,43,104,235,90,,215,,152,399,534,107,386,1932,,314,102,306,,,96,144,138,,170,131,,,1119,59,88,7124,1995,8,27,27/08/1995
130,130,49,47,169,78,,168,,112,316,593,90,381,1420,,249,87,252,,,116,92,121,,150,98,,,828,51,69,5796,1995,9,3,03/09/1995
161,116,23,54,225,60,,235,,135,406,691,94,508,1444,,295,124,374,,,127,74,105,,214,159,,,881,53,98,6656,1995,9,10,10/09/1995
163,146,33,70,257,86,,272,,153,492,386,65,619,1136,,274,117,348,,,93,119,117,,211,357,,,1079,130,138,6861,1995,9,17,17/09/1995
174,179,59,71,283,107,,347,,207,552,616,76,870,1648,,289,145,497,,,166,289,135,,286,404,,,1080,146,150,8776,1995,9,24,24/09/1995
294,242,57,64,435,170,,452,,414,858,867,88,1549,2426,,500,190,845,,,307,323,298,,509,761,,,1411,214,211,13485,1995,10,1,01/10/1995
162,134,79,17,411,58,,239,,134,458,567,67,500,1447,,216,122,355,,,164,333,114,,190,251,,,1066,71,93,7248,1995,10,8,08/10/1995
97,134,94,38,185,43,,199,,114,247,343,350,277,1402,,185,81,274,,,81,244,59,,144,97,,,465,40,44,5237,1995,10,15,15/10/1995
96,112,142,56,187,43,,185,,108,260,335,1088,369,1324,,226,79,244,,,94,399,85,,148,109,,,478,52,61,6280,1995,10,22,22/10/1995
162,158,439,10,291,71,2872,298,,158,355,279,3157,468,1933,,303,154,346,,,129,1103,128,,171,184,,,659,81,63,13972,1995,10,29,29/10/1995
64,25,,56,163,30,490,172,220,87,298,173,11,499,1629,13,121,107,214,65,24,141,13,158,52,53,200,65,25,688,258,73,6187,1995,11,10,10/11/1995
167,94,6,171,405,88,751,448,1123,304,845,390,111,1239,3269,43,370,205,622,273,103,278,25,287,174,189,496,201,67,1425,365,224,14758,1995,11,12,12/11/1995
158,92,2,156,393,91,767,395,809,295,794,446,38,1193,2854,100,348,149,511,152,102,232,11,315,117,221,550,67,57,1466,372,165,13418,1995,11,19,19/11/1995
122,69,2,159,316,91,676,318,710,240,742,443,42,1091,2558,208,360,129,462,156,142,216,8,222,174,196,428,81,53,1111,311,90,11926,1995,11,26,26/11/1995
136,70,5,170,392,99,981,445,1717,341,783,589,44,1286,3134,505,419,207,595,190,257,250,8,296,372,216,489,190,110,1219,326,164,16005,1995,12,3,03/12/1995
162,87,2,164,306,106,977,456,2753,233,760,658,18,1269,3202,732,494,203,592,1091,787,276,10,257,567,271,400,406,216,1232,314,133,19134,1995,12,10,10/12/1995
96,78,,147,293,80,658,396,2572,198,642,603,22,1123,2604,799,364,157,458,776,633,210,1,173,595,236,212,428,172,961,246,102,16035,1995,12,17,17/12/1995
115,64,1,120,252,58,665,338,2959,162,620,563,19,956,2629,930,401,158,450,648,678,156,14,170,544,172,227,407,130,979,246,75,15906,1995,12,24,24/12/1995
102,62,,100,272,100,545,335,3215,196,531,406,10,984,2726,641,319,163,395,862,606,210,16,182,401,117,189,312,171,831,278,60,15337,1995,12,31,31/12/1995
175,108,18,134,327,94,662,477,5044,294,761,591,42,1596,5010,868,443,153,702,1039,812,275,28,231,590,221,318,471,207,1190,326,134,23341,1996,1,7,07/01/1996
280,176,92,168,672,140,459,910,9334,551,1437,886,68,2425,8167,1471,742,333,1617,1302,1001,654,81,454,1075,439,689,911,243,2335,294,288,39694,1996,1,14,14/01/1996
291,220,58,172,500,174,1596,959,7369,755,1207,1430,64,2307,7814,1799,868,262,1044,1626,2130,367,53,425,1089,393,443,716,354,2013,474,284,39256,1996,1,21,21/01/1996
119,129,38,85,443,89,535,434,4236,233,589,599,64,1364,3601,470,330,151,816,666,933,292,43,189,616,302,247,519,186,790,303,82,19493,1996,1,28,28/01/1996
117,118,29,82,500,95,664,443,3844,242,595,650,66,1415,4095,704,273,178,610,567,694,224,30,159,576,253,214,433,205,847,332,72,19326,1996,2,4,04/02/1996
98,92,45,138,445,83,622,335,2876,219,582,568,78,1180,4391,674,292,203,563,592,611,179,28,138,458,183,207,362,170,698,270,94,17474,1996,2,11,11/02/1996
108,98,20,91,582,78,604,492,3321,313,641,911,90,1210,4643,978,274,194,640,889,810,354,25,144,694,198,209,525,270,776,246,90,20518,1996,2,18,18/02/1996
92,128,42,66,289,27,204,278,3005,175,412,309,178,919,2373,368,301,199,451,301,242,168,45,119,405,211,163,308,83,743,99,30,12733,1996,2,25,25/02/1996
87,119,37,76,236,43,154,220,2624,150,299,248,135,683,1833,318,204,197,330,253,255,143,47,117,376,148,139,262,85,713,71,48,10650,1996,3,3,03/03/1996
103,117,34,72,275,52,173,221,2624,151,353,301,158,601,1923,386,288,173,319,268,280,149,59,110,338,169,123,232,72,544,96,52,10816,1996,3,10,10/03/1996
103,120,28,69,235,28,199,217,2383,170,326,273,124,618,1766,269,279,311,291,216,281,118,56,94,314,144,117,231,83,593,126,33,10215,1996,3,17,17/03/1996
83,92,26,65,201,32,170,187,1908,152,243,231,142,473,1407,212,225,372,250,171,216,105,25,105,212,139,74,202,50,551,108,51,8480,1996,3,24,24/03/1996
90,98,25,53,198,36,177,225,2012,181,330,283,144,590,1619,219,206,,268,202,259,106,57,98,275,168,100,234,68,508,78,42,8949,1996,3,31,31/03/1996
64,54,13,49,75,26,104,111,1298,96,168,166,71,281,911,140,140,,164,149,156,86,38,70,124,78,48,127,41,363,63,27,5301,1996,4,7,07/04/1996
73,122,20,63,294,33,201,208,2245,226,325,287,115,617,1697,217,248,,394,173,289,74,35,130,267,163,120,253,96,796,117,50,9948,1996,4,14,14/04/1996
80,125,45,62,266,40,162,222,2242,210,351,279,72,660,1811,256,313,,384,241,279,171,44,112,359,182,104,213,85,902,95,51,10418,1996,4,21,21/04/1996
70,99,28,65,220,48,190,228,2355,188,351,1349,75,651,1899,250,293,,402,201,271,143,60,111,310,181,113,248,93,855,98,44,11489,1996,4,28,28/04/1996
81,93,37,46,206,50,248,230,1731,144,310,1036,107,554,1454,226,213,,310,204,217,118,42,85,262,110,116,186,72,723,154,39,9404,1996,5,5,05/05/1996
92,85,28,57,179,45,227,258,2241,133,376,1234,153,700,1773,234,294,,354,193,278,121,47,110,296,150,109,239,81,879,168,86,11220,1996,5,12,12/05/1996
93,138,37,59,245,50,276,282,2441,232,353,1295,138,937,1785,245,270,,402,249,325,107,42,128,462,202,179,234,90,790,203,72,12361,1996,5,19,19/05/1996
121,126,53,73,367,58,311,287,2528,250,380,1220,136,970,2943,316,306,,386,285,316,180,46,114,556,153,320,251,121,674,209,73,14129,1996,5,26,26/05/1996
90,109,63,68,570,49,275,290,2428,171,375,1760,140,808,5112,252,262,,408,356,353,161,45,138,523,225,361,277,108,756,196,88,16817,1996,6,2,02/06/1996
114,114,60,65,611,67,316,328,2708,187,445,,221,1151,6101,353,315,,416,483,357,172,47,163,502,213,337,289,128,835,247,79,17424,1996,6,9,09/06/1996
104,122,69,65,616,43,292,309,2649,218,440,,171,1109,6565,400,265,,440,579,355,123,56,168,521,182,332,261,109,775,168,79,17585,1996,6,16,16/06/1996
103,118,65,95,615,50,409,298,2952,159,429,,876,1030,11817,364,314,,465,550,335,170,51,256,427,182,321,276,125,810,222,82,23966,1996,6,23,23/06/1996
104,128,54,62,1431,72,317,330,2771,160,457,,961,885,,370,283,,403,506,338,169,84,190,453,185,334,261,91,772,213,88,12472,1996,6,30,30/06/1996
116,133,45,98,,59,294,329,2784,185,398,,2761,896,,318,271,,464,475,326,186,88,162,521,226,310,261,109,759,209,78,12861,1996,7,7,07/07/1996
92,121,55,88,,68,256,324,2725,177,440,,,846,,379,257,117,474,318,328,180,53,140,439,212,244,278,179,762,239,59,9850,1996,7,14,14/07/1996
89,126,48,72,,100,389,303,2884,203,491,,,980,,354,301,126,421,386,392,214,67,170,478,233,252,300,170,774,142,59,10524,1996,7,21,21/07/1996
92,103,58,72,,90,296,317,2394,218,569,,,814,,342,321,115,445,465,399,211,93,170,471,189,310,270,152,745,140,49,9910,1996,7,28,28/07/1996
104,85,44,79,,107,238,331,2682,222,495,,,954,,367,294,100,420,556,404,183,67,194,490,175,224,259,152,836,164,98,10324,1996,8,4,04/08/1996
145,132,57,61,,156,260,290,2840,211,458,,,1017,,363,277,95,442,475,693,184,74,204,534,221,337,229,118,748,165,129,10915,1996,8,11,11/08/1996
157,127,66,86,,160,261,312,2793,268,494,,,963,,372,308,154,422,452,766,224,65,182,493,204,298,294,132,789,180,120,11142,1996,8,18,18/08/1996
181,109,50,64,,171,299,332,3026,293,465,,,951,,498,275,224,357,516,808,221,55,201,535,206,272,216,131,798,178,91,11523,1996,8,25,25/08/1996
146,112,46,80,,141,313,414,3492,227,462,,,902,,386,223,245,473,445,761,195,85,202,453,226,272,284,138,747,198,87,11755,1996,9,1,01/09/1996
175,92,58,77,,97,285,435,3398,223,428,,,781,,386,259,219,462,497,761,161,58,190,447,248,306,211,112,828,145,89,11428,1996,9,8,08/09/1996
146,96,46,61,,122,312,455,3696,175,789,,,841,,368,244,182,449,581,707,196,46,175,399,214,290,269,108,776,182,91,12016,1996,9,15,15/09/1996
99,93,64,53,,72,204,385,2552,145,703,,,872,,335,228,90,367,477,548,207,50,118,294,225,254,299,95,608,141,69,9647,1996,9,22,22/09/1996
222,176,135,66,,154,372,918,5682,331,671,,,1523,,694,368,139,835,955,825,384,51,251,464,318,587,508,202,1093,163,101,18188,1996,9,29,29/09/1996
137,93,69,188,321,64,1220,447,2066,175,771,,447,1784,5550,1030,1073,400,873,1121,708,234,327,302,571,364,356,410,370,2356,682,149,24658,1996,10,9,09/10/1996
276,243,106,249,836,155,1861,1365,10976,611,1575,,939,3734,9117,2074,1438,725,2020,1777,1697,650,415,731,1338,723,682,935,634,3884,1193,336,53295,1996,10,13,13/10/1996
399,243,103,243,1108,157,2184,1460,13814,582,1508,2108,979,4450,10966,2500,1246,634,1895,2028,1806,624,439,740,1555,745,795,1058,611,3913,1219,378,62490,1996,10,20,20/10/1996
