Edo,Nombre_Indicador,año,Indicador,Limite_Inferior,Limite_Superior
Nacional,Residentes en la sección de registro,2005,82.559,82.0794272,83.0385728
Nacional,Residentes en el domicilio de registro,2005,75.6024,75.07980716,76.12499284
Nacional,Causas de no residencia en el domicilio del registro electoral:,2005,,,
Nacional,Cambio de domicilio no reportado,2005,20.6496,20.15514884,21.14405116
Nacional,Cambio de domicilio no reportado al mismo municipio,2005,8.13112,7.80066988,8.46157012
Nacional,Cambio de domicilio no reportado a otro municipio dentro del mismo estado,2005,2.84386,2.6470662,3.0406538
Nacional,Cambio de domicilio no reportado a otro estado,2005,2.21804,2.05648896,2.37959104
Nacional,Cambio de domicilio no reportado a otro país,2005,3.25161,3.05398124,3.44923876
Nacional,Destino del cambio no especificado,2005,4.20493,3.91371516,4.49614484
Nacional,Fallecidos con registro electoral,2005,1.37672,1.27238332,1.48105668
Nacional,Reconocidos que no han vivido en el domicilio,2005,0.350505,0.28348084,0.41752916
Nacional,Suspendidos de sus derechos politicos,2005,,,
Nacional,Residentes con domicilio mal ubicado,2005,,,
Nacional,Otra causa de no residencia en el domicilio de registro,2005,,,
Nacional,Causa de no residencia no especificada,2005,,,
Nacional,Error en la sección del registro electoral,2005,1.25176,1.089881444,1.413638556
Nacional,Domicilios no localizados de los ciudadanos con registro electoral,2005,0.655098,0.56915984,0.74103616
Nacional,Ciudadanos no reconocidos con registro electoral,2005,1.89455,1.729484092,2.059615908
Nacional,Ciudadanos no reconocidos y el domicilio es vivienda habitada,2005,,,
Nacional,Ciudadanos no reconocidos y el domicilio es predio no habitado,2005,,,
Nacional,Residentes en la sección de registro,2006,81.28385,80.7911256,81.7765744
Nacional,Residentes en el domicilio de registro,2006,74.33189,73.8331876,74.8305924
Nacional,Causas de no residencia en el domicilio del registro electoral:,2006,,,
Nacional,Cambio de domicilio no reportado,2006,21.66623,21.2102752,22.1221848
Nacional,Cambio de domicilio no reportado al mismo municipio,2006,9.33415,9.014082,9.654218
Nacional,Cambio de domicilio no reportado a otro municipio dentro del mismo estado,2006,2.78963,2.614798,2.964462
Nacional,Cambio de domicilio no reportado a otro estado,2006,2.18641,2.0179088,2.3549112
Nacional,Cambio de domicilio no reportado a otro país,2006,3.72863,3.4925676,3.9646924
Nacional,Destino del cambio no especificado,2006,3.62741,3.3856832,3.8691368
Nacional,Fallecidos con registro electoral,2006,1.51825,1.3936136,1.6428864
Nacional,Reconocidos que no han vivido en el domicilio,2006,0.36396,0.2945172,0.4334028
Nacional,Suspendidos de sus derechos politicos,2006,,,
Nacional,Residentes con domicilio mal ubicado,2006,,,
Nacional,Otra causa de no residencia en el domicilio de registro,2006,,,
Nacional,Causa de no residencia no especificada,2006,,,
Nacional,Error en la sección del registro electoral,2006,1.35063,1.1550024,1.5462576
Nacional,Domicilios no localizados de los ciudadanos con registro electoral,2006,0.78867,0.6883768,0.8889632
Nacional,Ciudadanos no reconocidos con registro electoral,2006,2.02143,1.8794868,2.1633732
Nacional,Ciudadanos no reconocidos y el domicilio es vivienda habitada,2006,1.01612,0.910476,1.121764
Nacional,Ciudadanos no reconocidos y el domicilio es predio no habitado,2006,0.352,0.291338,0.412662
Nacional,Residentes en la sección de registro,2008,81.46509,80.8649576,82.0652224
Nacional,Residentes en el domicilio de registro,2008,74.63097,73.954966,75.306974
Nacional,Causas de no residencia en el domicilio del registro electoral:,2008,,,
Nacional,Cambio de domicilio no reportado,2008,20.73807,20.1089688,21.3671712
Nacional,Cambio de domicilio no reportado al mismo municipio,2008,8.94566,8.5332564,9.3580636
Nacional,Cambio de domicilio no reportado a otro municipio dentro del mismo estado,2008,2.46755,2.2301352,2.7049648
Nacional,Cambio de domicilio no reportado a otro estado,2008,1.95456,1.7602064,2.1489136
Nacional,Cambio de domicilio no reportado a otro país,2008,3.38698,3.1130308,3.6609292
Nacional,Destino del cambio no especificado,2008,3.98333,3.6440148,4.3226452
Nacional,Fallecidos con registro electoral,2008,1.68945,1.5259076,1.8529924
Nacional,Reconocidos que no han vivido en el domicilio,2008,0.37048,0.2813392,0.4596208
Nacional,Suspendidos de sus derechos politicos,2008,,,
Nacional,Residentes con domicilio mal ubicado,2008,,,
Nacional,Otra causa de no residencia en el domicilio de registro,2008,,,
Nacional,Causa de no residencia no especificada,2008,,,
Nacional,Error en la sección del registro electoral,2008,1.60837,1.4017076,1.8150324
Nacional,Domicilios no localizados de los ciudadanos con registro electoral,2008,1.02038,0.8835132,1.1572468
Nacional,Ciudadanos no reconocidos con registro electoral,2008,2.23698,2.02383,2.45013
Nacional,Ciudadanos no reconocidos y el domicilio es vivienda habitada,2008,0.99746,0.8539096,1.1410104
