"Edo","Nombre_Indicador","Fecha","Indicador","Limite_Inferior","Limite_Superior","sd","año"
"Nacional","Residentes en la sección de registro",2005-01-01,82.559,82.0794272,83.0385728,0.4795728,2005
"Nacional","Residentes en el domicilio de registro",2005-01-01,75.6024,75.07980716,76.12499284,0.522592840000002,2005
"Nacional","Cambio de domicilio no reportado",2005-01-01,20.6496,20.15514884,21.14405116,0.494451160000001,2005
"Nacional","Cambio de domicilio no reportado al mismo municipio",2005-01-01,8.13112,7.80066988,8.46157012,0.33045012,2005
"Nacional","Cambio de domicilio no reportado a otro municipio dentro del mismo estado",2005-01-01,2.84386,2.6470662,3.0406538,0.1967938,2005
"Nacional","Cambio de domicilio no reportado a otro estado",2005-01-01,2.21804,2.05648896,2.37959104,0.16155104,2005
"Nacional","Cambio de domicilio no reportado a otro país",2005-01-01,3.25161,3.05398124,3.44923876,0.19762876,2005
"Nacional","Destino del cambio no especificado",2005-01-01,4.20493,3.91371516,4.49614484,0.29121484,2005
"Nacional","Fallecidos con registro electoral",2005-01-01,1.37672,1.27238332,1.48105668,0.10433668,2005
"Nacional","Reconocidos que no han vivido en el domicilio",2005-01-01,0.350505,0.28348084,0.41752916,0.06702416,2005
"Nacional","Error en la sección del registro electoral",2005-01-01,1.25176,1.089881444,1.413638556,0.161878556,2005
"Nacional","Domicilios no localizados de los ciudadanos con registro electoral",2005-01-01,0.655098,0.56915984,0.74103616,0.08593816,2005
"Nacional","Ciudadanos no reconocidos con registro electoral",2005-01-01,1.89455,1.729484092,2.059615908,0.165065908,2005
"Nacional","Residentes en la sección de registro",2006-01-01,81.28385,80.7911256,81.7765744,0.4927244,2006
"Nacional","Residentes en el domicilio de registro",2006-01-01,74.33189,73.8331876,74.8305924,0.498702399999999,2006
"Nacional","Cambio de domicilio no reportado",2006-01-01,21.66623,21.2102752,22.1221848,0.455954799999999,2006
"Nacional","Cambio de domicilio no reportado al mismo municipio",2006-01-01,9.33415,9.014082,9.654218,0.320068,2006
"Nacional","Cambio de domicilio no reportado a otro municipio dentro del mismo estado",2006-01-01,2.78963,2.614798,2.964462,0.174832,2006
"Nacional","Cambio de domicilio no reportado a otro estado",2006-01-01,2.18641,2.0179088,2.3549112,0.1685012,2006
"Nacional","Cambio de domicilio no reportado a otro país",2006-01-01,3.72863,3.4925676,3.9646924,0.2360624,2006
"Nacional","Destino del cambio no especificado",2006-01-01,3.62741,3.3856832,3.8691368,0.2417268,2006
"Nacional","Fallecidos con registro electoral",2006-01-01,1.51825,1.3936136,1.6428864,0.1246364,2006
"Nacional","Reconocidos que no han vivido en el domicilio",2006-01-01,0.36396,0.2945172,0.4334028,0.0694428,2006
"Nacional","Error en la sección del registro electoral",2006-01-01,1.35063,1.1550024,1.5462576,0.1956276,2006
"Nacional","Domicilios no localizados de los ciudadanos con registro electoral",2006-01-01,0.78867,0.6883768,0.8889632,0.1002932,2006
"Nacional","Ciudadanos no reconocidos con registro electoral",2006-01-01,2.02143,1.8794868,2.1633732,0.1419432,2006
"Nacional","Ciudadanos no reconocidos y el domicilio es vivienda habitada",2006-01-01,1.01612,0.910476,1.121764,0.105644,2006
"Nacional","Ciudadanos no reconocidos y el domicilio es predio no habitado",2006-01-01,0.352,0.291338,0.412662,0.060662,2006
"Nacional","Residentes en la sección de registro",2008-01-01,81.46509,80.8649576,82.0652224,0.6001324,2008
"Nacional","Residentes en el domicilio de registro",2008-01-01,74.63097,73.954966,75.306974,0.676003999999999,2008
"Nacional","Cambio de domicilio no reportado",2008-01-01,20.73807,20.1089688,21.3671712,0.629101200000001,2008
"Nacional","Cambio de domicilio no reportado al mismo municipio",2008-01-01,8.94566,8.5332564,9.3580636,0.412403599999999,2008
"Nacional","Cambio de domicilio no reportado a otro municipio dentro del mismo estado",2008-01-01,2.46755,2.2301352,2.7049648,0.2374148,2008
"Nacional","Cambio de domicilio no reportado a otro estado",2008-01-01,1.95456,1.7602064,2.1489136,0.1943536,2008
"Nacional","Cambio de domicilio no reportado a otro país",2008-01-01,3.38698,3.1130308,3.6609292,0.2739492,2008
"Nacional","Destino del cambio no especificado",2008-01-01,3.98333,3.6440148,4.3226452,0.3393152,2008
"Nacional","Fallecidos con registro electoral",2008-01-01,1.68945,1.5259076,1.8529924,0.1635424,2008
"Nacional","Reconocidos que no han vivido en el domicilio",2008-01-01,0.37048,0.2813392,0.4596208,0.0891408,2008
"Nacional","Error en la sección del registro electoral",2008-01-01,1.60837,1.4017076,1.8150324,0.2066624,2008
"Nacional","Domicilios no localizados de los ciudadanos con registro electoral",2008-01-01,1.02038,0.8835132,1.1572468,0.1368668,2008
"Nacional","Ciudadanos no reconocidos con registro electoral",2008-01-01,2.23698,2.02383,2.45013,0.21315,2008
"Nacional","Ciudadanos no reconocidos y el domicilio es vivienda habitada",2008-01-01,0.99746,0.8539096,1.1410104,0.1435504,2008
"Nacional","Ciudadanos no reconocidos y el domicilio es predio no habitado",2008-01-01,0.43503,0.34046,0.5296,0.09457,2008
"Nacional","Residentes en la sección de registro",2009-01-01,81.34928,80.667102,82.031458,0.682178,2009
"Nacional","Residentes en el domicilio de registro",2009-01-01,76.1775,75.445146,76.909854,0.732354000000001,2009
"Nacional","Cambio de domicilio no reportado",2009-01-01,19.42788,18.7195556,20.1362044,0.7083244,2009
"Nacional","Cambio de domicilio no reportado al mismo municipio",2009-01-01,8.20714,7.752126,8.662154,0.455014,2009
"Nacional","Cambio de domicilio no reportado a otro municipio dentro del mismo estado",2009-01-01,3.22012,2.8977588,3.5424812,0.3223612,2009
"Nacional","Cambio de domicilio no reportado a otro estado",2009-01-01,2.06038,1.8146548,2.3061052,0.2457252,2009
"Nacional","Cambio de domicilio no reportado a otro país",2009-01-01,3.20054,2.9146348,3.4864452,0.2859052,2009
"Nacional","Destino del cambio no especificado",2009-01-01,2.73969,2.4254236,3.0539564,0.3142664,2009
"Nacional","Fallecidos con registro electoral",2009-01-01,1.66193,1.4429196,1.8809404,0.2190104,2009
"Nacional","Reconocidos que no han vivido en el domicilio",2009-01-01,0.34588,0.2498988,0.4418612,0.0959812,2009
"Nacional","Suspendidos de sus derechos politicos",2009-01-01,0.01309,0.001036,0.025144,0.012054,2009
"Nacional","Error en la sección del registro electoral",2009-01-01,1.62986,1.3307052,1.9290148,0.2991548,2009
"Nacional","Domicilios no localizados de los ciudadanos con registro electoral",2009-01-01,1.04291,0.880132,1.205688,0.162778,2009
"Nacional","Ciudadanos no reconocidos con registro electoral",2009-01-01,1.74395,1.5497336,1.9381664,0.1942164,2009
"Nacional","Ciudadanos no reconocidos y el domicilio es vivienda habitada",2009-01-01,0.85859,0.715118,1.002062,0.143472,2009
"Nacional","Ciudadanos no reconocidos y el domicilio es predio no habitado",2009-01-01,0.14351,0.0765172,0.2105028,0.0669928,2009
"Nacional","Residentes en la sección de registro",2011-01-01,82.84664,82.3040336,83.3892464,0.542606400000004,2011
"Nacional","Residentes en el domicilio de registro",2011-01-01,76.26771,75.6715368,76.8638832,0.596173200000003,2011
"Nacional","Cambio de domicilio no reportado",2011-01-01,18.77858,18.2100624,19.3470976,0.5685176,2011
"Nacional","Cambio de domicilio no reportado al mismo municipio",2011-01-01,7.67743,7.3223956,8.0324644,0.3550344,2011
"Nacional","Cambio de domicilio no reportado a otro municipio dentro del mismo estado",2011-01-01,2.78369,2.530262,3.037118,0.253428,2011
"Nacional","Cambio de domicilio no reportado a otro estado",2011-01-01,1.82525,1.6410884,2.0094116,0.1841616,2011
"Nacional","Cambio de domicilio no reportado a otro país",2011-01-01,2.7723,2.554446,2.990154,0.217854,2011
"Nacional","Destino del cambio no especificado",2011-01-01,3.71991,3.398862,4.040958,0.321048,2011
"Nacional","Fallecidos con registro electoral",2011-01-01,1.07252,0.9423564,1.2026836,0.1301636,2011
"Nacional","Reconocidos que no han vivido en el domicilio",2011-01-01,0.33562,0.256534,0.414706,0.079086,2011
"Nacional","Suspendidos de sus derechos politicos",2011-01-01,0.03971,0.0190712,0.0603488,0.0206388,2011
"Nacional","Residentes con domicilio mal ubicado",2011-01-01,1.04985,0.877076,1.222624,0.172774,2011
"Nacional","Otra causa de no residencia en el domicilio de registro",2011-01-01,0.20345,0.1468844,0.2600156,0.0565656,2011
"Nacional","Causa de no residencia no especificada",2011-01-01,2.25104,2.0057656,2.4963144,0.2452744,2011
"Nacional","Error en la sección del registro electoral",2011-01-01,1.44148,1.246558,1.636402,0.194922,2011
"Nacional","Domicilios no localizados de los ciudadanos con registro electoral",2011-01-01,0.87462,0.7501796,0.9990604,0.1244404,2011
"Nacional","Ciudadanos no reconocidos con registro electoral",2011-01-01,2.94754,2.6803332,3.2147468,0.2672068,2011
"Nacional","Ciudadanos no reconocidos y el domicilio es vivienda habitada",2011-01-01,1.79384,1.5843944,2.0032856,0.2094456,2011
"Nacional","Ciudadanos no reconocidos y el domicilio es predio no habitado",2011-01-01,0.47122,0.3795312,0.5629088,0.0916888,2011
"Nacional","Residentes en la sección de registro",2012-01-01,84.59393,84.0617312,85.1261288,0.532198800000003,2012
"Nacional","Residentes en el domicilio de registro",2012-01-01,77.79378,77.1959212,78.3916388,0.597858799999997,2012
"Nacional","Cambio de domicilio no reportado",2012-01-01,18.44343,17.900804,18.986056,0.542626,2012
"Nacional","Cambio de domicilio no reportado al mismo municipio",2012-01-01,7.03257,6.6813772,7.3837628,0.3511928,2012
