Edo,Nombre_Indicador,Indicador,Año
Nacional,Empadronados,94.2,VNM03
Aguascalientes,Empadronados,94.74,VNM03
Baja California,Empadronados,93.12,VNM03
Baja California Sur,Empadronados,94.81,VNM03
Campeche,Empadronados,93.47,VNM03
Coahuila,Empadronados,92.9,VNM03
Colima,Empadronados,94.38,VNM03
Chiapas,Empadronados,93.01,VNM03
Chihuahua,Empadronados,93.64,VNM03
Ciudad de México,Empadronados,96.2,VNM03
Durango,Empadronados,94.57,VNM03
Guanajuato,Empadronados,95.23,VNM03
Guerrero,Empadronados,92.45,VNM03
Hidalgo,Empadronados,92.84,VNM03
Jalisco,Empadronados,95.08,VNM03
México,Empadronados,94.18,VNM03
Michoacán,Empadronados,91.72,VNM03
Morelos,Empadronados,95.58,VNM03
Nayarit,Empadronados,93.51,VNM03
Nuevo León,Empadronados,94.92,VNM03
Oaxaca,Empadronados,93.56,VNM03
Puebla,Empadronados,93.7,VNM03
Querétaro,Empadronados,94.74,VNM03
Quintana Roo,Empadronados,94.38,VNM03
San Luis Potosí,Empadronados,93.08,VNM03
Sinaloa,Empadronados,96.14,VNM03
Sonora,Empadronados,94.65,VNM03
Tabasco,Empadronados,96.87,VNM03
Tamaulipas,Empadronados,93.44,VNM03
Tlaxcala,Empadronados,96.16,VNM03
Veracruz,Empadronados,93.37,VNM03
Yucatán,Empadronados,94.71,VNM03
Zacatecas,Empadronados,92.57,VNM03
Nacional,Empadronados,95.03,VNM05
Aguascalientes,Empadronados,94.82,VNM05
Baja California,Empadronados,91.37,VNM05
Baja California Sur,Empadronados,94.29,VNM05
Campeche,Empadronados,96.43,VNM05
Coahuila,Empadronados,94.3,VNM05
Colima,Empadronados,94.39,VNM05
Chiapas,Empadronados,95.64,VNM05
Chihuahua,Empadronados,95.68,VNM05
Ciudad de México,Empadronados,97.99,VNM05
Durango,Empadronados,94.41,VNM05
Guanajuato,Empadronados,95.92,VNM05
Guerrero,Empadronados,93.02,VNM05
Hidalgo,Empadronados,94.96,VNM05
Jalisco,Empadronados,95.44,VNM05
México,Empadronados,91.83,VNM05
Michoacán,Empadronados,93.73,VNM05
Morelos,Empadronados,96.83,VNM05
Nayarit,Empadronados,95.31,VNM05
Nuevo León,Empadronados,96.43,VNM05
Oaxaca,Empadronados,95.33,VNM05
Puebla,Empadronados,95.42,VNM05
Querétaro,Empadronados,95.08,VNM05
Quintana Roo,Empadronados,94.16,VNM05
San Luis Potosí,Empadronados,94.49,VNM05
Sinaloa,Empadronados,96.9,VNM05
Sonora,Empadronados,93.58,VNM05
Tabasco,Empadronados,97.91,VNM05
Tamaulipas,Empadronados,94.12,VNM05
Tlaxcala,Empadronados,97.62,VNM05
Veracruz,Empadronados,94.95,VNM05
Yucatán,Empadronados,95.32,VNM05
Zacatecas,Empadronados,94.81,VNM05
Nacional,Empadronados,95.4,VNM06
Aguascalientes,Empadronados,94.6,VNM06
Baja California,Empadronados,93.52,VNM06
Baja California Sur,Empadronados,92.33,VNM06
Campeche,Empadronados,93.75,VNM06
Coahuila,Empadronados,95.54,VNM06
Colima,Empadronados,95.83,VNM06
Chiapas,Empadronados,94.8,VNM06
Chihuahua,Empadronados,95.32,VNM06
Ciudad de México,Empadronados,98.01,VNM06
Durango,Empadronados,96.8,VNM06
Guanajuato,Empadronados,94.9,VNM06
Guerrero,Empadronados,93.55,VNM06
Hidalgo,Empadronados,94.71,VNM06
Jalisco,Empadronados,94.21,VNM06
México,Empadronados,95.31,VNM06
Michoacán,Empadronados,94.72,VNM06
Morelos,Empadronados,96.51,VNM06
Nayarit,Empadronados,95.53,VNM06
Nuevo León,Empadronados,94.94,VNM06
Oaxaca,Empadronados,96.87,VNM06
Puebla,Empadronados,94.01,VNM06
Querétaro,Empadronados,95.47,VNM06
Quintana Roo,Empadronados,94.86,VNM06
San Luis Potosí,Empadronados,94.58,VNM06
Sinaloa,Empadronados,95.36,VNM06
Sonora,Empadronados,95.59,VNM06
Tabasco,Empadronados,97.76,VNM06
Tamaulipas,Empadronados,95.21,VNM06
Tlaxcala,Empadronados,96.75,VNM06
Veracruz,Empadronados,96.3,VNM06
Yucatán,Empadronados,93.62,VNM06
Zacatecas,Empadronados,95.83,VNM06
Nacional,Empadronados,96.1,VNM08
