"Edo","Nombre_Indicador","Indicador","Fecha"
"Nacional","Empadronados",94.2,2003
"Aguascalientes","Empadronados",94.74,2003
"Baja California","Empadronados",93.12,2003
"Baja California Sur","Empadronados",94.81,2003
"Campeche","Empadronados",93.47,2003
"Coahuila","Empadronados",92.9,2003
"Colima","Empadronados",94.38,2003
"Chiapas","Empadronados",93.01,2003
"Chihuahua","Empadronados",93.64,2003
"Ciudad de México","Empadronados",96.2,2003
"Durango","Empadronados",94.57,2003
"Guanajuato","Empadronados",95.23,2003
"Guerrero","Empadronados",92.45,2003
"Hidalgo","Empadronados",92.84,2003
"Jalisco","Empadronados",95.08,2003
"México","Empadronados",94.18,2003
"Michoacán","Empadronados",91.72,2003
"Morelos","Empadronados",95.58,2003
"Nayarit","Empadronados",93.51,2003
"Nuevo León","Empadronados",94.92,2003
"Oaxaca","Empadronados",93.56,2003
"Puebla","Empadronados",93.7,2003
"Querétaro","Empadronados",94.74,2003
"Quintana Roo","Empadronados",94.38,2003
"San Luis Potosí","Empadronados",93.08,2003
"Sinaloa","Empadronados",96.14,2003
"Sonora","Empadronados",94.65,2003
"Tabasco","Empadronados",96.87,2003
"Tamaulipas","Empadronados",93.44,2003
"Tlaxcala","Empadronados",96.16,2003
"Veracruz","Empadronados",93.37,2003
"Yucatán","Empadronados",94.71,2003
"Zacatecas","Empadronados",92.57,2003
"Nacional","Empadronados",95.03,2005
"Aguascalientes","Empadronados",94.82,2005
"Baja California","Empadronados",91.37,2005
"Baja California Sur","Empadronados",94.29,2005
"Campeche","Empadronados",96.43,2005
"Coahuila","Empadronados",94.3,2005
"Colima","Empadronados",94.39,2005
"Chiapas","Empadronados",95.64,2005
"Chihuahua","Empadronados",95.68,2005
"Ciudad de México","Empadronados",97.99,2005
"Durango","Empadronados",94.41,2005
"Guanajuato","Empadronados",95.92,2005
"Guerrero","Empadronados",93.02,2005
"Hidalgo","Empadronados",94.96,2005
"Jalisco","Empadronados",95.44,2005
"México","Empadronados",91.83,2005
"Michoacán","Empadronados",93.73,2005
"Morelos","Empadronados",96.83,2005
"Nayarit","Empadronados",95.31,2005
"Nuevo León","Empadronados",96.43,2005
"Oaxaca","Empadronados",95.33,2005
"Puebla","Empadronados",95.42,2005
"Querétaro","Empadronados",95.08,2005
"Quintana Roo","Empadronados",94.16,2005
"San Luis Potosí","Empadronados",94.49,2005
"Sinaloa","Empadronados",96.9,2005
"Sonora","Empadronados",93.58,2005
"Tabasco","Empadronados",97.91,2005
"Tamaulipas","Empadronados",94.12,2005
"Tlaxcala","Empadronados",97.62,2005
"Veracruz","Empadronados",94.95,2005
"Yucatán","Empadronados",95.32,2005
"Zacatecas","Empadronados",94.81,2005
"Nacional","Empadronados",95.4,2006
"Aguascalientes","Empadronados",94.6,2006
"Baja California","Empadronados",93.52,2006
"Baja California Sur","Empadronados",92.33,2006
"Campeche","Empadronados",93.75,2006
"Coahuila","Empadronados",95.54,2006
"Colima","Empadronados",95.83,2006
"Chiapas","Empadronados",94.8,2006
"Chihuahua","Empadronados",95.32,2006
"Ciudad de México","Empadronados",98.01,2006
"Durango","Empadronados",96.8,2006
"Guanajuato","Empadronados",94.9,2006
"Guerrero","Empadronados",93.55,2006
"Hidalgo","Empadronados",94.71,2006
"Jalisco","Empadronados",94.21,2006
"México","Empadronados",95.31,2006
"Michoacán","Empadronados",94.72,2006
"Morelos","Empadronados",96.51,2006
"Nayarit","Empadronados",95.53,2006
"Nuevo León","Empadronados",94.94,2006
"Oaxaca","Empadronados",96.87,2006
"Puebla","Empadronados",94.01,2006
"Querétaro","Empadronados",95.47,2006
"Quintana Roo","Empadronados",94.86,2006
"San Luis Potosí","Empadronados",94.58,2006
"Sinaloa","Empadronados",95.36,2006
"Sonora","Empadronados",95.59,2006
"Tabasco","Empadronados",97.76,2006
"Tamaulipas","Empadronados",95.21,2006
"Tlaxcala","Empadronados",96.75,2006
"Veracruz","Empadronados",96.3,2006
"Yucatán","Empadronados",93.62,2006
"Zacatecas","Empadronados",95.83,2006
"Nacional","Empadronados",96.1,2008
"Aguascalientes","Empadronados",97.47,2008
"Baja California","Empadronados",95.26,2008
"Baja California Sur","Empadronados",95.55,2008
"Campeche","Empadronados",96.36,2008
"Coahuila","Empadronados",95.57,2008
"Colima","Empadronados",96.27,2008
"Chiapas","Empadronados",94.74,2008
"Chihuahua","Empadronados",96.25,2008
"Ciudad de México","Empadronados",97.65,2008
"Durango","Empadronados",96.22,2008
"Guanajuato","Empadronados",96.49,2008
"Guerrero","Empadronados",94.84,2008
"Hidalgo","Empadronados",96.48,2008
"Jalisco","Empadronados",96.23,2008
"México","Empadronados",96.39,2008
"Michoacán","Empadronados",93.5,2008
"Morelos","Empadronados",97.78,2008
"Nayarit","Empadronados",95.94,2008
"Nuevo León","Empadronados",97.61,2008
"Oaxaca","Empadronados",93.21,2008
"Puebla","Empadronados",94.11,2008
"Querétaro","Empadronados",97.31,2008
"Quintana Roo","Empadronados",96.4,2008
"San Luis Potosí","Empadronados",95.41,2008
"Sinaloa","Empadronados",96.28,2008
"Sonora","Empadronados",95.65,2008
"Tabasco","Empadronados",98.23,2008
"Tamaulipas","Empadronados",96.5,2008
"Tlaxcala","Empadronados",97.1,2008
"Veracruz","Empadronados",95.33,2008
"Yucatán","Empadronados",97.37,2008
"Zacatecas","Empadronados",96.73,2008
"Nacional","Empadronados",95.17,2009
"Aguascalientes","Empadronados",95.08,2009
"Baja California","Empadronados",94.92,2009
"Baja California Sur","Empadronados",97.32,2009
"Campeche","Empadronados",96.65,2009
"Coahuila","Empadronados",93.63,2009
"Colima","Empadronados",96.85,2009
"Chiapas","Empadronados",93.25,2009
"Chihuahua","Empadronados",94.9,2009
"Ciudad de México","Empadronados",96.71,2009
"Durango","Empadronados",95.24,2009
"Guanajuato","Empadronados",95.83,2009
"Guerrero","Empadronados",94.63,2009
"Hidalgo","Empadronados",93.23,2009
"Jalisco","Empadronados",94.71,2009
"México","Empadronados",95.72,2009
"Michoacán","Empadronados",94,2009
"Morelos","Empadronados",96.65,2009
"Nayarit","Empadronados",92.5,2009
"Nuevo León","Empadronados",96.52,2009
"Oaxaca","Empadronados",94.01,2009
"Puebla","Empadronados",93.52,2009
"Querétaro","Empadronados",94.67,2009
"Quintana Roo","Empadronados",94.09,2009
"San Luis Potosí","Empadronados",94.64,2009
"Sinaloa","Empadronados",94.46,2009
"Sonora","Empadronados",96.08,2009
"Tabasco","Empadronados",97.32,2009
"Tamaulipas","Empadronados",94.6,2009
"Tlaxcala","Empadronados",97.23,2009
"Veracruz","Empadronados",95.28,2009
"Yucatán","Empadronados",97.54,2009
"Zacatecas","Empadronados",95.66,2009
"Nacional","Empadronados",97.48,2011
"Aguascalientes","Empadronados",97.59,2011
"Baja California","Empadronados",96.63,2011
"Baja California Sur","Empadronados",95.96,2011
"Campeche","Empadronados",98.51,2011
"Coahuila","Empadronados",97.83,2011
"Colima","Empadronados",97.4,2011
"Chiapas","Empadronados",96.65,2011
"Chihuahua","Empadronados",97.57,2011
"Ciudad de México","Empadronados",98.61,2011
"Durango","Empadronados",97.57,2011
"Guanajuato","Empadronados",96.61,2011
"Guerrero","Empadronados",95.67,2011
"Hidalgo","Empadronados",97.69,2011
"Jalisco","Empadronados",97.6,2011
"México","Empadronados",98.07,2011
"Michoacán","Empadronados",95.75,2011
"Morelos","Empadronados",98.3,2011
"Nayarit","Empadronados",96.46,2011
"Nuevo León","Empadronados",98.79,2011
"Oaxaca","Empadronados",97.03,2011
"Puebla","Empadronados",96.82,2011
"Querétaro","Empadronados",97.26,2011
"Quintana Roo","Empadronados",98.22,2011
"San Luis Potosí","Empadronados",96.5,2011
"Sinaloa","Empadronados",96.8,2011
"Sonora","Empadronados",97.63,2011
"Tabasco","Empadronados",97.57,2011
"Tamaulipas","Empadronados",98.34,2011
"Tlaxcala","Empadronados",96.66,2011
"Veracruz","Empadronados",97.25,2011
"Yucatán","Empadronados",98.64,2011
"Zacatecas","Empadronados",98.58,2011
"Nacional","Empadronados",97.56,2012
"Aguascalientes","Empadronados",98.23,2012
"Baja California","Empadronados",96.55,2012
"Baja California Sur","Empadronados",97.52,2012
"Campeche","Empadronados",99.01,2012
"Coahuila","Empadronados",96.95,2012
"Colima","Empadronados",98.68,2012
